selected_feature
Precipitation_6M_lag2_D2
Precipitation_1M_lag0_A2
Precipitation_6M_lag1_D2
Precipitation_3M_lag2_D2
Precipitation_6M_lag5_D2
Precipitation_1M_lag3_D2
Precipitation_6M_lag2_D1
Precipitation_6M_lag3_D1
Precipitation_6M_lag0_D2
Precipitation_3M_lag1_D2
Precipitation_1M_lag2_D1
Precipitation_3M_lag5_D1
Precipitation_6M_lag4_D2
Precipitation_3M_lag0_A2
Precipitation_6M_lag8_D2
Precipitation_3M_lag3_D2
Precipitation_6M_lag3_D2
Precipitation_3M_lag3_D1
NAO_lag9_A2
Precipitation_1M_lag2_D2
Precipitation_1M_lag1_A2
Precipitation_6M_lag8_D1
Precipitation_6M_lag1_D1
NAO_lag4_A2
