selected_feature
Precipitation_6M_lag0_A2
Precipitation_6M_lag1_A2
Precipitation_3M_lag0_A2
Precipitation_3M_lag1_A2
Precipitation_1M_lag0_A2
Precipitation_6M_lag2_A2
Precipitation_3M_lag2_A2
Precipitation_1M_lag1_A2
Precipitation_1M_lag2_A2
Precipitation_1M_lag3_A2
Precipitation_3M_lag3_A2
Precipitation_1M_lag4_A2
Precipitation_6M_lag3_A2
Precipitation_3M_lag4_A2
Precipitation_1M_lag5_A2
Precipitation_6M_lag4_A2
Precipitation_3M_lag5_A2
SOLAR_lag9_A2
SOLAR_lag8_A2
SOLAR_lag7_A2
SOLAR_lag6_A2
SOLAR_lag4_A2
NAO_lag10_A2
Precipitation_3M_lag2_D2
Precipitation_1M_lag3_D2
Precipitation_6M_lag5_A2
Precipitation_3M_lag1_D2
Precipitation_3M_lag6_A2
Precipitation_6M_lag8_D2
Precipitation_6M_lag7_D2
Precipitation_1M_lag2_D1
WP_lag4_A2
Precipitation_1M_lag2_D2
Precipitation_3M_lag11_D1
WP_lag5_A2
