selected_feature
Precipitation_3M_lag2_D2
Precipitation_3M_lag1_D2
Precipitation_3M_lag2_D1
Precipitation_1M_lag2_D2
Precipitation_6M_lag0_D2
Precipitation_1M_lag2_D1
Precipitation_3M_lag1_D1
SOLAR_lag12_A2
Precipitation_6M_lag8_D2
Precipitation_6M_lag0_D1
SOLAR_lag10_A2
Precipitation_6M_lag7_D2
Precipitation_3M_lag8_D2
SOLAR_lag2_A2
Precipitation_1M_lag1_A2
Precipitation_6M_lag6_D1
Precipitation_3M_lag0_D2
SOLAR_lag8_A2
Precipitation_1M_lag0_D1
Precipitation_6M_lag6_D2
Precipitation_3M_lag0_A2
Precipitation_1M_lag0_D2
ONI_lag4_D2
Precipitation_1M_lag9_D2
