selected_feature
Precipitation_1M_lag0_A2
Precipitation_6M_lag2_D2
Precipitation_6M_lag1_D2
Precipitation_3M_lag2_D2
Precipitation_1M_lag3_D2
Precipitation_6M_lag2_D1
Precipitation_6M_lag3_D1
Precipitation_3M_lag0_A2
Precipitation_6M_lag0_D2
Precipitation_3M_lag5_D1
Precipitation_1M_lag2_D1
Precipitation_3M_lag3_D2
Precipitation_3M_lag1_D2
Precipitation_6M_lag3_D2
Precipitation_6M_lag4_D2
Precipitation_1M_lag1_A2
NAO_lag11_A2
NAO_lag10_A2
Precipitation_3M_lag3_D1
PDO_lag5_A2
Precipitation_6M_lag1_D1
NAO_lag0_A2
PDO_lag6_A2
PDO_lag4_A2
WP_lag4_A2
PDO_lag7_A2
Precipitation_1M_lag2_D2
NAO_lag1_A2
