selected_feature
Precipitation_3M_lag2_D2
Precipitation_3M_lag1_D2
Precipitation_3M_lag2_D1
Precipitation_6M_lag5_D2
Precipitation_1M_lag2_D2
Precipitation_6M_lag4_D2
Precipitation_1M_lag2_D1
Precipitation_6M_lag0_D2
Precipitation_6M_lag2_D1
Precipitation_3M_lag1_D1
Precipitation_6M_lag0_D1
Precipitation_3M_lag7_D2
Precipitation_6M_lag5_D1
Precipitation_1M_lag1_A2
Precipitation_6M_lag6_D1
Precipitation_3M_lag0_D2
Precipitation_3M_lag0_A2
Precipitation_1M_lag0_D1
Precipitation_6M_lag6_D2
Precipitation_1M_lag0_D2
Precipitation_1M_lag0_A2
SOLAR_lag4_A2
SOLAR_lag5_A2
SOLAR_lag0_A2
SOLAR_lag7_A2
ONI_lag3_D2
