selected_feature
Precipitation_1M_lag2_D1
Precipitation_3M_lag3_D1
Precipitation_3M_lag0_D1
Precipitation_3M_lag1_D2
Precipitation_1M_lag2_D2
Precipitation_3M_lag3_D2
Precipitation_3M_lag0_D2
Precipitation_6M_lag1_D1
Precipitation_1M_lag0_D1
PNA_lag3_D1
