predictor,lag,final_rho,improvement,p_value
NAO,3,0.0651948,0.0519544,0.0
NAO,6,0.0539102,0.0344483,0.0
NAO,7,0.1211162,0.1218838,0.0
NAO,8,0.0497052,0.0527244,0.0
NINO34,2,0.0816389,0.0644412,0.0
NINO34,3,0.1220337999999999,0.0995351999999999,0.0
NINO34,4,0.1672168,0.1188916999999999,0.0
NINO34,5,0.1552653,0.1085037999999999,0.0
NINO34,6,0.1292982,0.1047145,0.0
NINO34,7,0.120171,0.094578,0.0
NINO34,8,0.1312358,0.1082758,0.0
NINO34,9,0.1316983,0.113221,0.0
NINO34,12,0.0684898999999999,0.0584236999999999,0.0
ONI,2,0.0666772,0.063963,0.0
ONI,3,0.0949137999999999,0.0574509,0.0
ONI,4,0.1228129,0.090877,0.0
ONI,5,0.1210511,0.0937943,0.0
ONI,6,0.1121698,0.0818368,0.0
ONI,7,0.1089171,0.0967591,0.0
ONI,8,0.1134462999999999,0.1017104999999999,0.0
ONI,9,0.1099178,0.1032222,0.0
ONI,12,0.0633947999999999,0.0708644,0.0
PDO,1,0.0701411,0.027525,0.0
PDO,2,0.0653325,0.0225804,0.0
PNA,0,0.1345771,0.1052885,0.0
PNA,4,0.0601879,0.0385978,0.0
PNA,7,0.0414882999999999,0.0520237999999999,0.0
Precipitation_1M,0,0.4493454,0.0331715999999999,0.0
Precipitation_1M,1,0.4471308,0.0417650999999999,0.0
Precipitation_1M,2,0.5932741,0.1459716,0.0
Precipitation_3M,0,0.6853735000000001,0.0272964000000001,0.0
Precipitation_3M,1,0.3873515,0.0461931000000001,0.0
Precipitation_3M,2,0.1441867,0.0356607,0.0
Precipitation_3M,7,0.0586194999999999,0.0458830999999999,0.0
Precipitation_6M,0,0.3525005999999999,-0.0055556000000001,0.0
Precipitation_6M,1,0.1537986999999999,-6.290000000003237e-05,0.0
Precipitation_6M,2,0.0372542,-0.0069576,0.0
Precipitation_6M,4,0.0818935,0.0720181999999999,0.0
Precipitation_6M,5,0.0879645,0.0921016,0.0
Precipitation_6M,6,0.0062756999999999,0.0052104,0.0
SOLAR,0,0.0421966,0.0537519,0.0
SOLAR,4,0.047011,0.0431357,0.0
SOLAR,5,0.0879883,0.0850181,0.0
SOLAR,7,0.0643841,0.0584664,0.0
Temperature_1M,0,0.0417374999999999,0.0095705999999999,0.0
Temperature_1M,6,0.0243990999999999,0.0028253999999999,0.0
Temperature_3M,12,-0.0336944,-0.0305912,0.0
Temperature_6M,0,-0.0616609,-0.0442727,0.0
Temperature_6M,2,0.0271621999999999,-0.0190385999999999,0.0
Temperature_6M,10,0.0016765,-0.0160301999999999,0.0
WP,1,0.0705001,0.0708138,0.0
WP,6,0.096511,0.0797692,0.0
WP,8,-0.0214438,-0.0154913,0.0
WP,10,0.0787695,0.08303,0.0
