predictor,lag,final_rho,improvement,p_value
NAO,3,0.0869055999999999,0.0803666999999999,0.0
NAO,4,0.127321,0.0827876,0.0
NAO,9,0.0521526999999999,0.0483945999999999,0.0
NINO34,11,0.1042938,0.0793387,0.0
NINO34,12,0.0970201,0.0884987,0.0
ONI,11,0.0834468999999999,0.0701715999999999,0.0
ONI,12,0.0966982999999999,0.0894870999999999,0.0
PDO,6,0.0542819,0.01994,0.0
PDO,7,0.0664057,0.0233523999999999,0.0
PDO,10,0.073984,0.052779,0.0
PDO,11,0.1260849999999999,0.1022444999999999,0.0
PDO,12,0.1046833,0.0813577,0.0
PNA,0,0.0686264,0.0610426,0.0
PNA,3,0.0572603999999999,0.0499045,0.0
PNA,8,0.0507563,0.0500921999999999,0.0
PNA,9,0.0581921,0.0527934,0.0
PNA,11,0.0542622,0.0624116,0.0
Precipitation_1M,0,0.2544545,0.0780818,0.0
Precipitation_1M,1,0.2534779,0.0836731999999999,0.0
Precipitation_1M,2,0.2304710999999999,0.0578102,0.0
Precipitation_1M,3,0.2063178,-0.0266144999999999,0.0
Precipitation_1M,4,0.2062202,0.0013347999999999,0.0
Precipitation_1M,5,0.5721875000000001,0.2122844999999999,0.0
Precipitation_1M,7,0.1485627,0.1344622999999999,0.0
Precipitation_3M,0,0.4583924,0.0653764,0.0
Precipitation_3M,1,0.4756455000000001,0.0535822000000001,0.0
Precipitation_3M,2,0.4484839000000001,0.0095811000000001,0.0
Precipitation_3M,3,0.4545809,0.0531485999999999,0.0
Precipitation_3M,4,0.3441948000000001,0.1092892,0.0
Precipitation_3M,5,0.3261965,0.2061003,0.0
Precipitation_3M,6,0.1648473,0.154832,0.0
Precipitation_3M,12,0.0726922999999999,0.0531899999999999,0.0
Precipitation_6M,0,0.7328220999999999,0.0344624,0.0
Precipitation_6M,1,0.5458325,0.0191019,0.0
Precipitation_6M,2,0.4434379999999999,0.0782160999999999,0.0
Precipitation_6M,3,0.3645191,0.1504009000000001,0.0
Precipitation_6M,4,0.2422491999999999,0.1294032999999999,0.0
Precipitation_6M,5,0.1574518,0.1242542999999999,0.0
Precipitation_6M,8,0.0389789,0.0251904999999999,0.0
Precipitation_6M,9,0.0374131,0.0148235,0.0
WP,8,0.1029065999999999,0.1002474999999999,0.0
