target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPEI_6M,Precipitation_1M,0,2,0.1403092,-4.0084900990098946e-05,-0.02119129999999997,0.0,True,False
SPEI_6M,Precipitation_1M,1,2,0.257563,9.922410714285749e-05,0.07640130000000006,0.0,True,True
SPEI_6M,Precipitation_1M,2,2,0.18058700000000003,-2.9842678571428404e-05,-0.01119069999999997,0.0,True,False
SPEI_6M,Precipitation_1M,3,2,0.24352950000000004,4.681385714285724e-05,0.03291709999999998,0.0,True,True
SPEI_6M,Precipitation_1M,4,2,0.24450690000000003,6.478453571428609e-05,0.03924900000000006,0.0,True,True
SPEI_6M,Precipitation_1M,5,2,0.5182555,0.0001956484285714287,0.16995189999999993,0.0,True,True
SPEI_6M,Precipitation_1M,6,2,0.0663994,0.00010933671428571427,0.07402109999999999,0.0,True,True
SPEI_6M,Precipitation_1M,7,2,-0.033763699999999994,-8.110101010101011e-05,-0.050897899999999996,0.8,False,False
SPEI_6M,Precipitation_1M,8,2,0.009250900000000001,-3.486684704184707e-05,-0.0105112,0.4,False,False
SPEI_6M,Precipitation_1M,9,2,-0.08876030000000001,-0.00014032669552669556,-0.08085430000000002,1.0,False,False
SPEI_6M,Precipitation_1M,10,2,-0.0105053,-1.598336940836942e-05,-0.0055550999999999994,0.6,False,False
SPEI_6M,Precipitation_1M,11,2,0.0201098,1.6838492063492054e-05,0.007287199999999999,0.4,False,False
SPEI_6M,Precipitation_1M,12,2,0.0101945,1.3892604617604623e-05,0.0067624,0.0,True,False
SPEI_6M,Precipitation_3M,0,2,0.4032165,1.2801414427157202e-05,0.013156999999999974,0.0,True,True
SPEI_6M,Precipitation_3M,1,2,0.4664697,8.326153571428622e-05,0.06673630000000008,0.0,True,True
SPEI_6M,Precipitation_3M,2,2,0.4758348,6.800310714285747e-05,0.0536509,0.0,True,True
SPEI_6M,Precipitation_3M,3,2,0.4608645,0.00013407757142857207,0.09977380000000008,0.0,True,True
SPEI_6M,Precipitation_3M,4,2,0.3196724,0.00013290464285714318,0.09478120000000004,0.0,True,True
SPEI_6M,Precipitation_3M,5,2,0.21546579999999999,0.00016547185714285728,0.1081437,0.0,True,True
SPEI_6M,Precipitation_3M,6,2,0.057519299999999995,5.437750000000001e-05,0.0410113,0.0,True,True
SPEI_6M,Precipitation_3M,7,2,-0.03780839999999999,-0.00012040396825396827,-0.0602821,0.8,False,False
SPEI_6M,Precipitation_3M,8,2,-0.050009500000000005,-0.0001023150793650794,-0.052365,1.0,False,False
SPEI_6M,Precipitation_3M,9,2,-0.035307099999999994,-7.045158730158732e-05,-0.0410674,1.0,False,False
SPEI_6M,Precipitation_3M,10,2,-0.031766800000000005,-7.217720057720061e-05,-0.043642400000000005,0.6,False,False
SPEI_6M,Precipitation_3M,11,2,-0.0323354,-0.000101088924963925,-0.0522546,0.4,False,False
SPEI_6M,Precipitation_3M,12,2,0.004236399999999999,-4.4280699855699885e-05,-0.0138479,0.2,False,False
SPEI_6M,Precipitation_6M,0,2,0.7186871,3.534575671852912e-05,0.03260929999999995,0.0,True,True
SPEI_6M,Precipitation_6M,1,2,0.5897685,8.246789285714326e-05,0.06458540000000002,0.0,True,True
SPEI_6M,Precipitation_6M,2,2,0.4094476,9.136535714285715e-05,0.06480420000000003,0.0,True,True
SPEI_6M,Precipitation_6M,3,2,0.2699774,8.470846428571453e-05,0.05950319999999998,0.0,True,True
SPEI_6M,Precipitation_6M,4,2,0.1447313,2.558392857142895e-06,0.009962699999999991,0.0,True,True
SPEI_6M,Precipitation_6M,5,2,0.06915890000000001,-3.1923928571427703e-06,0.005290900000000015,0.2,False,False
SPEI_6M,Precipitation_6M,6,2,-0.031840499999999994,-7.046464285714284e-05,-0.03792269999999999,1.0,False,False
SPEI_6M,Precipitation_6M,7,2,-0.05862020000000001,-0.00013228643578643587,-0.07166910000000001,1.0,False,False
SPEI_6M,Precipitation_6M,8,2,-0.08661259999999998,-0.00016274321789321792,-0.09028769999999998,1.0,False,False
SPEI_6M,Precipitation_6M,9,2,-0.0681346,-0.0001396274170274171,-0.0789922,0.6,False,False
SPEI_6M,Precipitation_6M,10,2,-0.0529264,-0.0001439353535353536,-0.071583,0.6,False,False
SPEI_6M,Precipitation_6M,11,2,0.013228000000000002,-6.0372366522366586e-05,-0.0256744,0.6,False,False
SPEI_6M,Precipitation_6M,12,2,0.0971907,7.415667388167385e-05,0.06467520000000002,0.0,True,True
SPEI_6M,Temperature_1M,0,2,-0.07242420000000001,-0.00013329600424328143,-0.07932890000000001,1.0,False,False
SPEI_6M,Temperature_1M,1,2,0.021910300000000004,-2.974435714285711e-05,-0.005116699999999988,0.8,False,False
SPEI_6M,Temperature_1M,2,2,0.0907568,6.957164285714289e-05,0.06188369999999999,0.4,False,False
SPEI_6M,Temperature_1M,3,2,0.0695681,6.788335714285715e-05,0.0528082,0.6,False,False
SPEI_6M,Temperature_1M,4,2,0.014312199999999999,4.039535714285724e-06,0.007785199999999999,0.2,False,False
SPEI_6M,Temperature_1M,5,2,-0.04965479999999999,-9.364814285714284e-05,-0.05395079999999999,0.0,True,False
SPEI_6M,Temperature_1M,6,2,-0.0673073,-0.00013769,-0.0798428,1.0,False,False
SPEI_6M,Temperature_1M,7,2,0.009511400000000001,-4.94149350649351e-05,-0.013982900000000001,1.0,False,False
SPEI_6M,Temperature_1M,8,2,0.09684690000000001,9.306374458874458e-05,0.07658740000000001,0.4,False,False
SPEI_6M,Temperature_1M,9,2,0.0684249,5.6876154401154394e-05,0.0347294,0.8,False,False
SPEI_6M,Temperature_1M,10,2,-0.0096676,-3.0029725829725835e-05,-0.019700500000000003,0.8,False,False
SPEI_6M,Temperature_1M,11,2,-0.0336601,-6.360209235209236e-05,-0.033503,0.0,True,False
SPEI_6M,Temperature_1M,12,2,-0.013476000000000002,-4.005580808080808e-05,-0.0186626,0.2,False,False
SPEI_6M,Temperature_3M,0,2,0.0203104,-4.2220721357850066e-05,-0.014606000000000001,1.0,False,False
SPEI_6M,Temperature_3M,1,2,0.0998891,7.717167857142862e-05,0.0609988,0.4,False,False
SPEI_6M,Temperature_3M,2,2,0.08508919999999998,7.585192857142857e-05,0.05344399999999998,0.0,True,True
SPEI_6M,Temperature_3M,3,2,0.007175200000000001,-8.745107142857136e-06,-0.0018028999999999996,0.2,False,False
SPEI_6M,Temperature_3M,4,2,-0.06352669999999999,-0.00010344857142857142,-0.06046939999999999,0.4,False,False
SPEI_6M,Temperature_3M,5,2,-0.0567371,-0.00012008689285714284,-0.0643685,1.0,False,False
SPEI_6M,Temperature_3M,6,2,0.022497100000000003,-2.973903571428571e-05,-0.004240199999999996,0.8,False,False
SPEI_6M,Temperature_3M,7,2,0.0783755,4.514960317460315e-05,0.042351,1.0,False,False
SPEI_6M,Temperature_3M,8,2,0.06572919999999999,5.976230158730158e-05,0.046201199999999984,0.4,False,False
SPEI_6M,Temperature_3M,9,2,0.006178200000000002,-1.3632936507936513e-05,-0.0016849999999999955,0.0,True,False
SPEI_6M,Temperature_3M,10,2,-0.0392263,-6.110165945165944e-05,-0.038076599999999995,0.0,True,False
SPEI_6M,Temperature_3M,11,2,-0.012073100000000003,-5.069577922077923e-05,-0.029565600000000004,0.0,True,False
SPEI_6M,Temperature_3M,12,2,0.049662899999999996,1.643315295815294e-05,0.016846699999999992,0.4,False,False
SPEI_6M,Temperature_6M,0,2,0.11752809999999998,0.00012316124469589811,0.08815609999999999,0.0,True,True
SPEI_6M,Temperature_6M,1,2,0.0604233,6.005103571428571e-05,0.041526099999999996,0.2,False,False
SPEI_6M,Temperature_6M,2,2,-0.031053400000000005,-5.286132142857143e-05,-0.029164800000000005,0.0,True,False
SPEI_6M,Temperature_6M,3,2,-0.0780898,-0.00014096867857142856,-0.0813745,1.0,False,False
SPEI_6M,Temperature_6M,4,2,-0.028373,-8.624246428571428e-05,-0.0448589,0.8,False,False
SPEI_6M,Temperature_6M,5,2,0.0423013,-8.44410714285708e-06,0.010339400000000006,1.0,False,False
SPEI_6M,Temperature_6M,6,2,0.0800071,6.871442857142861e-05,0.0560316,0.8,False,False
SPEI_6M,Temperature_6M,7,2,0.041325700000000014,2.6112265512265518e-05,0.021614900000000013,0.0,True,False
SPEI_6M,Temperature_6M,8,2,-0.010841900000000002,-2.3217207792207792e-05,-0.010095500000000002,0.0,True,False
SPEI_6M,Temperature_6M,9,2,-0.02931720000000001,-6.612925685425687e-05,-0.03380220000000001,0.0,True,False
SPEI_6M,Temperature_6M,10,2,0.0190108,-1.282088744588748e-05,-0.0016550000000000002,0.0,True,False
SPEI_6M,Temperature_6M,11,2,0.0790173,4.3436760461760426e-05,0.040262900000000004,0.2,False,False
SPEI_6M,Temperature_6M,12,2,0.09993769999999999,8.877766955266954e-05,0.0701699,0.4,False,False
