target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPI_1M,WP,0,2,0.10309890000000001,0.000172719,0.10742950000000001,0.0,True,True
SPI_1M,WP,1,2,0.036443100000000006,6.358010714285714e-05,0.03963010000000001,0.6,False,False
SPI_1M,WP,2,2,0.0401342,4.5174071428571437e-05,0.036133900000000004,0.4,False,False
SPI_1M,WP,3,2,-0.09844430000000003,-0.00013387617857142862,-0.08282850000000003,1.0,False,False
SPI_1M,WP,4,2,0.007146400000000001,1.9347499999999987e-05,0.0074424,0.4,False,False
SPI_1M,WP,5,2,0.0326264,4.072889285714287e-05,0.021946800000000002,0.0,True,False
SPI_1M,WP,6,2,-0.016168000000000002,-3.4866161616161624e-05,-0.0192118,0.8,False,False
SPI_1M,WP,7,2,0.040063699999999994,5.804430014430016e-05,0.04005449999999999,0.0,True,False
SPI_1M,WP,8,2,0.0351859,4.575202020202018e-05,0.0336725,0.2,False,False
SPI_1M,WP,9,2,-0.040216600000000005,-5.484220779220782e-05,-0.029604100000000005,0.8,False,False
SPI_1M,WP,10,2,-0.0071028,-1.7733766233766236e-05,-0.0074824,0.6,False,False
SPI_1M,WP,11,2,0.0059243,1.1655266955266951e-05,0.0212112,0.4,False,False
SPI_1M,WP,12,2,0.0844789,0.00015163793731778425,0.0933832,0.2,False,False
SPI_1M,ONI,0,2,0.060857699999999994,9.123789285714287e-05,0.05924369999999999,0.2,False,False
SPI_1M,ONI,1,2,0.0387154,3.86076785714286e-05,0.027690899999999997,0.6,False,False
SPI_1M,ONI,2,2,-0.0063278000000000015,-3.9314678571428536e-05,-0.024469599999999998,0.2,False,False
SPI_1M,ONI,3,2,-0.033352299999999994,-8.549992857142853e-05,-0.046777099999999995,0.4,False,False
SPI_1M,ONI,4,2,-0.05561030000000001,-0.00011574310714285712,-0.061834400000000005,0.8,False,False
SPI_1M,ONI,5,2,-0.06494370000000001,-0.00013287217857142856,-0.06872270000000001,0.6,False,False
SPI_1M,ONI,6,2,-0.07870060000000001,-0.00015769743867243872,-0.09429470000000001,1.0,False,False
SPI_1M,ONI,7,2,-0.08571869999999998,-0.0001416571067821068,-0.08232759999999999,1.0,False,False
SPI_1M,ONI,8,2,-0.07759690000000001,-0.00012658340548340552,-0.07502840000000001,0.8,False,False
SPI_1M,ONI,9,2,-0.0556914,-8.055328282828283e-05,-0.050801400000000003,0.8,False,False
SPI_1M,ONI,10,2,-0.0328527,-5.991396103896106e-05,-0.033098699999999995,0.8,False,False
SPI_1M,ONI,11,2,-0.0030615000000000004,-3.5056637806637855e-06,-0.0008416000000000001,0.6,False,False
SPI_1M,ONI,12,2,0.0050002000000000015,8.53188775510204e-06,0.007550600000000001,0.4,False,False
SPI_1M,PNA,0,2,-0.10298620000000001,-0.00020363239285714287,-0.12463690000000001,1.0,False,False
SPI_1M,PNA,1,2,0.0462435,8.928664285714284e-05,0.0536045,0.2,False,False
SPI_1M,PNA,2,2,0.0205963,2.8639321428571423e-05,0.0165531,0.0,True,False
SPI_1M,PNA,3,2,0.0828482,0.00013628232142857142,0.08013819999999999,0.0,True,True
SPI_1M,PNA,4,2,0.08047910000000001,0.00011834739285714285,0.0800706,0.0,True,True
SPI_1M,PNA,5,2,-0.023458200000000002,-3.6292785714285705e-05,-0.018199600000000003,1.0,False,False
SPI_1M,PNA,6,2,0.038316600000000006,6.003658008658011e-05,0.039990700000000004,0.2,False,False
SPI_1M,PNA,7,2,-0.029755599999999997,-3.0897979797979796e-05,-0.021266,0.8,False,False
SPI_1M,PNA,8,2,0.0424037,6.98789321789322e-05,0.0421657,0.2,False,False
SPI_1M,PNA,9,2,0.08014210000000001,9.305328282828284e-05,0.0681128,0.2,False,False
SPI_1M,PNA,10,2,0.0048405,2.9022258297258325e-05,0.017392300000000003,0.4,False,False
SPI_1M,PNA,11,2,-0.0748979,-0.00011062215007215011,-0.0695959,1.0,False,False
SPI_1M,PNA,12,2,-0.05927580000000001,-8.788043002915454e-05,-0.04900310000000001,1.0,False,False
SPI_1M,NAO,0,2,-0.0481861,-6.371853571428572e-05,-0.031081499999999998,0.8,False,False
SPI_1M,NAO,1,2,-0.04874880000000001,-7.038585714285716e-05,-0.04554440000000001,0.8,False,False
SPI_1M,NAO,2,2,0.0143463,1.6498571428571648e-06,0.0104618,0.2,False,False
SPI_1M,NAO,3,2,-0.0194541,-7.054746428571425e-05,-0.0294416,0.8,False,False
SPI_1M,NAO,4,2,0.06363220000000001,0.0001020942857142857,0.062151800000000014,0.2,False,False
