target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPEI_12M,WP,0,2,0.010135400000000001,1.3538684582743993e-05,0.006977800000000001,0.6,False,False
SPEI_12M,WP,1,2,-0.0130563,-4.038710714285713e-05,-0.0185225,0.6,False,False
SPEI_12M,WP,2,2,0.024876799999999998,4.9792678571428553e-05,0.038589599999999995,0.4,False,False
SPEI_12M,WP,3,2,-0.04556150000000001,-5.744364285714285e-05,-0.027798300000000012,0.6,False,False
SPEI_12M,WP,4,2,0.07905569999999999,0.00011822399999999998,0.0775304,0.2,False,False
SPEI_12M,WP,5,2,-0.0359833,-3.5870214285714316e-05,-0.023094000000000003,0.6,False,False
SPEI_12M,WP,6,2,-0.0522059,-7.561517857142856e-05,-0.0485376,1.0,False,False
SPEI_12M,WP,7,2,0.0965933,0.00013761446608946614,0.0886558,0.0,True,True
SPEI_12M,WP,8,2,0.0140661,-4.137842712842714e-05,-0.0106986,1.0,False,False
SPEI_12M,WP,9,2,0.0177715,2.8536435786435676e-06,-0.003146300000000001,0.4,False,False
SPEI_12M,WP,10,2,0.0987094,0.00010820862193362198,0.07955680000000001,0.2,False,False
SPEI_12M,WP,11,2,0.07783359999999999,9.24868686868687e-05,0.059517799999999996,0.2,False,False
SPEI_12M,WP,12,2,0.015115799999999999,2.4777164502164515e-05,0.0104302,0.2,False,False
SPEI_12M,ONI,0,2,-0.028027100000000003,-9.780099009900989e-05,-0.058619199999999996,0.8,False,False
SPEI_12M,ONI,1,2,-0.0199488,-6.867089285714281e-05,-0.0388536,0.6,False,False
SPEI_12M,ONI,2,2,0.0001869,-1.3164749999999996e-05,-0.0072561000000000014,0.6,False,False
SPEI_12M,ONI,3,2,0.018681,1.2739000000000022e-05,0.014084900000000001,0.2,False,False
SPEI_12M,ONI,4,2,0.0550946,6.397150000000001e-05,0.0423733,0.6,False,False
SPEI_12M,ONI,5,2,0.07430930000000001,9.81697142857143e-05,0.061787400000000006,0.2,False,False
SPEI_12M,ONI,6,2,0.08451729999999999,0.00010988949999999997,0.06525789999999998,0.0,True,True
SPEI_12M,ONI,7,2,0.07502720000000002,8.758315295815297e-05,0.05468020000000001,0.0,True,True
SPEI_12M,ONI,8,2,0.03395700000000001,4.4977705627705646e-05,0.028243600000000008,0.4,False,False
SPEI_12M,ONI,9,2,-0.015906200000000002,-5.559978354978358e-05,-0.0344529,1.0,False,False
SPEI_12M,ONI,10,2,-0.04964670000000001,-0.00011068239538239544,-0.05890770000000001,0.4,False,False
SPEI_12M,ONI,11,2,-0.0546042,-0.00011675212842712847,-0.0595402,1.0,False,False
SPEI_12M,ONI,12,2,-0.03342610000000001,-9.641767676767682e-05,-0.05236720000000001,0.8,False,False
SPEI_12M,PNA,0,2,0.04725479999999999,6.667227722772274e-05,0.04124039999999999,0.4,False,False
SPEI_12M,PNA,1,2,0.0312628,6.0322857142857135e-05,0.040680999999999995,0.2,False,False
SPEI_12M,PNA,2,2,0.0200152,3.476292857142856e-05,0.0130972,0.8,False,False
SPEI_12M,PNA,3,2,-0.0441483,-6.881114285714287e-05,-0.0409083,1.0,False,False
SPEI_12M,PNA,4,2,-0.0017470000000000005,2.4719285714285707e-06,0.004990200000000001,0.4,False,False
SPEI_12M,PNA,5,2,-0.09560009999999998,-0.00012880432142857142,-0.07676739999999999,1.0,False,False
SPEI_12M,PNA,6,2,-0.0945889,-0.00012861757142857146,-0.0836726,1.0,False,False
SPEI_12M,PNA,7,2,0.010995899999999998,3.6019047619047637e-05,0.0203459,0.6,False,False
SPEI_12M,PNA,8,2,0.0726197,8.067575757575757e-05,0.054593899999999994,0.2,False,False
SPEI_12M,PNA,9,2,0.04279469999999999,4.2557972582972586e-05,0.02830209999999999,0.2,False,False
