target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPI_12M,Precipitation_1M,0,2,0.11078800000000001,7.7412114845939e-06,0.014233400000000035,0.0,True,True
SPI_12M,Precipitation_1M,1,2,0.08193449999999998,-5.059744397759114e-05,-0.025208600000000025,0.0,True,False
SPI_12M,Precipitation_1M,2,2,0.05555010000000001,-0.00010926939775910361,-0.06680659999999997,0.0,True,False
SPI_12M,Precipitation_1M,3,2,0.013546,-0.00013127020308123253,-0.0716585,0.0,True,False
SPI_12M,Precipitation_1M,4,2,0.191463,0.00016033319327731098,0.09404090000000001,0.0,True,True
SPI_12M,Precipitation_1M,5,2,0.1264302,3.590941876750701e-05,0.033011999999999986,0.0,True,True
SPI_12M,Precipitation_1M,6,2,0.0520747,-7.170176803394617e-05,-0.03718239999999999,0.2,False,False
SPI_12M,Precipitation_1M,7,2,0.0389463,-8.349027581329561e-05,-0.045130900000000015,0.4,False,False
SPI_12M,Precipitation_1M,8,2,0.0821267,-2.5375742574257354e-05,-0.017520900000000006,0.2,False,False
SPI_12M,Precipitation_1M,9,2,0.11187319999999999,5.014391796322487e-05,0.03015119999999999,0.0,True,True
SPI_12M,Precipitation_1M,10,2,0.066593,-2.143871994342291e-05,-0.021662200000000006,0.0,True,False
SPI_12M,Precipitation_1M,11,2,0.4676959,0.0002363783239038189,0.19970100000000002,0.0,True,True
SPI_12M,Precipitation_1M,12,2,-0.05862169999999999,-8.789010714285713e-05,-0.05338759999999999,1.0,False,False
SPI_12M,Precipitation_3M,0,2,0.22404650000000004,-5.848004201680663e-06,0.009492700000000048,0.0,True,False
SPI_12M,Precipitation_3M,1,2,0.18265119999999999,-8.344327731092433e-05,-0.041367600000000004,0.0,True,False
SPI_12M,Precipitation_3M,2,2,0.1961518,-5.203655462184861e-05,-0.026944300000000004,0.0,True,False
SPI_12M,Precipitation_3M,3,2,0.2280384,3.210336134453782e-05,0.023647900000000027,0.0,True,True
SPI_12M,Precipitation_3M,4,2,0.20805739999999998,-3.788795518207288e-05,-0.021189500000000056,0.0,True,False
SPI_12M,Precipitation_3M,5,2,0.24087789999999998,5.514495798319197e-06,0.015626599999999935,0.0,True,True
SPI_12M,Precipitation_3M,6,2,0.22297270000000002,6.084971711456823e-06,0.008687500000000042,0.0,True,True
SPI_12M,Precipitation_3M,7,2,0.1945656,-2.5564285714285748e-05,-0.014850800000000053,0.0,True,False
SPI_12M,Precipitation_3M,8,2,0.19146699999999994,-1.5468882602545894e-05,-0.007361500000000021,0.0,True,False
SPI_12M,Precipitation_3M,9,2,0.27101320000000007,8.19975247524754e-05,0.0670304000000001,0.0,True,True
SPI_12M,Precipitation_3M,10,2,0.21274490000000004,9.464066478076387e-05,0.07903600000000005,0.0,True,True
SPI_12M,Precipitation_3M,11,2,0.12029709999999999,9.159193776520605e-06,0.029500699999999977,0.0,True,True
SPI_12M,Precipitation_3M,12,2,-0.1262164,-0.00023101096428571424,-0.13030840000000002,1.0,False,False
SPI_12M,Precipitation_6M,0,2,0.4392078,3.487111344537847e-05,0.027424800000000027,0.0,True,True
SPI_12M,Precipitation_6M,1,2,0.3825782,-6.0098844537815176e-05,-0.029003100000000004,0.0,True,False
SPI_12M,Precipitation_6M,2,2,0.41794070000000005,1.0826680672271902e-06,0.01112300000000005,0.0,True,True
SPI_12M,Precipitation_6M,3,2,0.4148011,-1.4238515406162224e-05,2.649999999998487e-05,0.0,True,False
SPI_12M,Precipitation_6M,4,2,0.4526858,1.9675875350140477e-05,0.02055550000000006,0.0,True,True
SPI_12M,Precipitation_6M,5,2,0.4466814,2.068343837535074e-05,0.0162617000000001,0.0,True,True
SPI_12M,Precipitation_6M,6,2,0.4212943,4.807404526166881e-05,0.042875800000000075,0.0,True,True
SPI_12M,Precipitation_6M,7,2,0.3076305,3.548362800565756e-05,0.0365298,0.0,True,True
SPI_12M,Precipitation_6M,8,2,0.24689290000000003,8.250067185289968e-05,0.0652172,0.0,True,True
SPI_12M,Precipitation_6M,9,2,0.132167,3.6498585572842286e-06,0.01617630000000002,0.0,True,True
SPI_12M,Precipitation_6M,10,2,0.0188608,-0.00011546467468175383,-0.05534900000000001,0.0,True,False
SPI_12M,Precipitation_6M,11,2,0.0098143,-9.158992220650629e-05,-0.04158889999999999,0.0,True,False
SPI_12M,Precipitation_6M,12,2,-0.0727012,-0.00012260714285714286,-0.0763928,1.0,False,False
SPI_12M,Temperature_1M,0,2,-0.0436803,-9.843049719887958e-05,-0.0547424,1.0,False,False
SPI_12M,Temperature_1M,1,2,-0.0266681,-5.845486694677872e-05,-0.037709099999999995,1.0,False,False
SPI_12M,Temperature_1M,2,2,-0.0368672,-5.341484593837536e-05,-0.0303087,1.0,False,False
SPI_12M,Temperature_1M,3,2,-0.0180404,-1.9757668067226885e-05,-0.011489300000000001,0.0,True,False
SPI_12M,Temperature_1M,4,2,-0.04080400000000001,-7.582759103641458e-05,-0.04259160000000001,0.4,False,False
SPI_12M,Temperature_1M,5,2,-0.019848400000000002,-8.054947478991594e-05,-0.0361839,0.2,False,False
SPI_12M,Temperature_1M,6,2,-0.0009861999999999998,-5.232171145685996e-05,-0.020702400000000003,0.0,True,False
SPI_12M,Temperature_1M,7,2,-0.026892899999999997,-6.787369165487974e-05,-0.0316023,0.4,False,False
SPI_12M,Temperature_1M,8,2,-0.0082854,-2.096460396039604e-05,-0.0200254,0.0,True,False
SPI_12M,Temperature_1M,9,2,-0.039064800000000004,-5.9474292786421464e-05,-0.036474900000000005,1.0,False,False
SPI_12M,Temperature_1M,10,2,-0.025746699999999997,-5.844816124469585e-05,-0.0317581,0.8,False,False
SPI_12M,Temperature_1M,11,2,-0.013288900000000001,-7.915777934936347e-05,-0.037314900000000005,0.4,False,False
SPI_12M,Temperature_1M,12,2,-0.0234696,-8.514160714285713e-05,-0.0445218,0.8,False,False
SPI_12M,Temperature_3M,0,2,-0.0273875,-5.6763655462184887e-05,-0.0325494,1.0,False,False
