predictor,lag,final_rho,improvement,p_value
NAO,8,0.1210542,0.1253644,0.0
NINO34,0,0.0518724,0.0474175,0.0
NINO34,1,0.0846371,0.0708748,0.0
NINO34,2,0.0890452999999999,0.0737785999999999,0.0
NINO34,3,0.0878638,0.0650843,0.0
ONI,0,0.0560134,0.0537029,0.0
ONI,1,0.0769482,0.0669632,0.0
ONI,2,0.0817077,0.0667529,0.0
ONI,3,0.0766931,0.0375053999999999,0.0
PNA,3,0.0800608,0.0821823,0.0
Precipitation_1M,0,0.7827470000000001,0.0629253,0.0
Precipitation_1M,2,0.0233425999999999,0.0224875999999999,0.0
Precipitation_3M,0,0.2785399,0.0402448,0.0
Precipitation_3M,1,0.0254734999999999,0.0226045999999999,0.0
Precipitation_3M,3,0.0550158,0.06447,0.0
Precipitation_3M,12,0.0966442999999999,0.1103185999999999,0.0
Precipitation_6M,0,0.2179229999999999,0.0943615999999999,0.0
Precipitation_6M,1,0.0987905999999999,0.1005548999999999,0.0
Precipitation_6M,9,0.0444723999999999,0.0446188999999999,0.0
Temperature_1M,8,0.0321682,0.0450357,0.0
Temperature_3M,7,0.0056331,0.0218707,0.0
Temperature_3M,8,0.031716,0.0310665,0.0
Temperature_6M,7,0.034496,0.0393494,0.0
Temperature_6M,8,0.0609547,0.0639981,0.0
Temperature_6M,10,0.0331703,0.0522733,0.0
WP,1,0.0050493,0.0026315999999999,0.0
WP,7,0.1297553,0.1115669,0.0
